사용일자,노선명,역명,승차총승객수,하차총승객수,자치구
20180104,2호선,구의(광진구청),26503.0,26117.0,광진구
20180104,2호선,강변(동서울터미널),45680.0,44419.0,광진구
20180104,2호선,용답,2633.0,2669.0,성동구
20180104,2호선,신답,1449.0,1710.0,성동구
20180104,2호선,신설동,4130.0,4384.0,동대문구
20180104,2호선,용두(동대문구청),2492.0,2731.0,동대문구
20180104,3호선,연신내,44626.0,42878.0,중랑구
20180104,3호선,금호,9564.0,8835.0,성동구
20180104,3호선,옥수,10690.0,11137.0,성동구
20180104,경원선,옥수,55.0,45.0,성동구
20180104,경원선,왕십리(성동구청),16625.0,18962.0,성동구
20180104,경원선,청량리(서울시립대입구),14978.0,16636.0,동대문구
20180104,중앙선,상봉(시외버스터미널),5901.0,5834.0,중랑구
20180104,경춘선,신내,668.0,721.0,중랑구
20180104,5호선,신금호,6479.0,6456.0,성동구
20180104,5호선,행당,9460.0,8555.0,성동구
20180104,5호선,왕십리(성동구청),5453.0,6139.0,성동구
20180104,5호선,마장,6776.0,6393.0,성동구
20180104,5호선,답십리,18159.0,16514.0,성동구
20180104,5호선,장한평,21320.0,21331.0,동대문구
20180104,5호선,군자(능동),12143.0,14967.0,광진구
20180104,5호선,아차산(어린이대공원후문),15281.0,14646.0,광진구
20180104,5호선,광나루(장신대),15373.0,13496.0,광진구
20180104,6호선,연신내,1.0,0.0,중랑구
20180104,6호선,봉화산(서울의료원),10620.0,9819.0,중랑구
20180104,7호선,먹골,11590.0,11272.0,중랑구
20180104,7호선,중화,12056.0,11621.0,중랑구
20180104,7호선,상봉(시외버스터미널),18643.0,17594.0,중랑구
20180104,7호선,면목,16396.0,15939.0,중랑구
20180104,7호선,사가정,16935.0,16747.0,중랑구
20180104,7호선,용마산,6927.0,6423.0,중랑구
20180104,7호선,중곡,11048.0,10460.0,광진구
20180104,7호선,군자(능동),15596.0,10085.0,광진구
20180104,7호선,어린이대공원(세종대),13919.0,13682.0,광진구
20180104,7호선,건대입구,16751.0,17648.0,광진구
20180104,7호선,뚝섬유원지,7784.0,7517.0,광진구
20180105,우이신설선,신설동,1579.0,1769.0,동대문구
20180105,7호선,뚝섬유원지,8177.0,7814.0,광진구
20180105,7호선,건대입구,17429.0,18919.0,광진구
20180105,7호선,어린이대공원(세종대),14541.0,14299.0,광진구
20180105,7호선,군자(능동),16655.0,10550.0,광진구
20180105,7호선,중곡,11272.0,10314.0,광진구
20180105,7호선,용마산,7156.0,6344.0,중랑구
20180105,7호선,사가정,17376.0,17402.0,중랑구
20180105,7호선,면목,17086.0,16146.0,중랑구
20180105,7호선,상봉(시외버스터미널),19401.0,18602.0,중랑구
20180105,7호선,중화,12514.0,11857.0,중랑구
20180105,7호선,먹골,12097.0,11500.0,중랑구
20180105,6호선,봉화산(서울의료원),10950.0,9927.0,중랑구
20180105,5호선,광나루(장신대),15954.0,13758.0,광진구
20180105,5호선,아차산(어린이대공원후문),15749.0,14733.0,광진구
20180105,5호선,군자(능동),12531.0,16010.0,광진구
20180105,5호선,장한평,21889.0,22195.0,동대문구
20180105,5호선,답십리,18939.0,17079.0,성동구
20180105,5호선,마장,7026.0,6704.0,성동구
20180105,5호선,왕십리(성동구청),5641.0,6812.0,성동구
20180105,5호선,행당,9863.0,8481.0,성동구
20180105,5호선,신금호,6668.0,6662.0,성동구
20180105,경춘선,신내,730.0,743.0,중랑구
20180105,중앙선,상봉(시외버스터미널),6172.0,6140.0,중랑구
20180105,경원선,청량리(서울시립대입구),16983.0,19210.0,동대문구
20180105,경원선,왕십리(성동구청),17750.0,20624.0,성동구
20180105,경원선,옥수,71.0,25.0,성동구
20180105,3호선,옥수,11267.0,11536.0,성동구
20180105,3호선,금호,9962.0,9101.0,성동구
20180105,3호선,연신내,47211.0,44858.0,중랑구
20180105,2호선,용두(동대문구청),2615.0,2733.0,동대문구
20180105,2호선,신설동,5036.0,5061.0,동대문구
20180105,2호선,신답,1585.0,1834.0,성동구
20180105,2호선,용답,2838.0,2667.0,성동구
20180105,2호선,강변(동서울터미널),51823.0,50127.0,광진구
20180105,2호선,구의(광진구청),27452.0,26542.0,광진구
20180105,2호선,건대입구,48445.0,55905.0,광진구
20180105,2호선,성수,32807.0,36052.0,성동구
20180105,2호선,뚝섬,19696.0,21088.0,성동구
20180105,2호선,한양대,9823.0,10766.0,성동구
20180105,2호선,왕십리(성동구청),21821.0,18138.0,성동구
20180105,2호선,상왕십리,15853.0,14955.0,성동구
20180105,1호선,청량리(서울시립대입구),29463.0,30766.0,동대문구
20180105,1호선,제기동,22145.0,22359.0,동대문구
20180105,1호선,신설동,17936.0,17477.0,동대문구
20180106,1호선,신설동,12633.0,12194.0,동대문구
20180106,1호선,제기동,20274.0,20816.0,동대문구
20180106,1호선,청량리(서울시립대입구),26725.0,27803.0,동대문구
20180106,2호선,상왕십리,10713.0,9781.0,성동구
20180106,2호선,왕십리(성동구청),17263.0,14951.0,성동구
20180106,2호선,한양대,4990.0,5352.0,성동구
20180106,2호선,뚝섬,10642.0,10769.0,성동구
20180106,2호선,성수,14618.0,15657.0,성동구
20180106,2호선,건대입구,45623.0,52700.0,광진구
20180106,2호선,구의(광진구청),18473.0,17464.0,광진구
20180106,2호선,강변(동서울터미널),47775.0,46797.0,광진구
20180106,2호선,용답,2060.0,2032.0,성동구
20180106,2호선,신답,1080.0,1231.0,성동구
20180106,2호선,신설동,4699.0,4321.0,동대문구
20180106,2호선,용두(동대문구청),1882.0,1967.0,동대문구
20180106,3호선,연신내,36423.0,34740.0,중랑구
20180106,3호선,금호,7153.0,6459.0,성동구
20180106,3호선,옥수,8452.0,9026.0,성동구
20180106,경원선,옥수,38.0,19.0,성동구
20180106,경원선,왕십리(성동구청),15620.0,18213.0,성동구
20180106,경원선,청량리(서울시립대입구),17999.0,19627.0,동대문구
20180106,중앙선,상봉(시외버스터미널),5363.0,5226.0,중랑구
20180106,경춘선,신내,489.0,508.0,중랑구
20180106,5호선,신금호,4748.0,4713.0,성동구
20180106,5호선,행당,6659.0,5774.0,성동구
20180106,5호선,왕십리(성동구청),4368.0,5449.0,성동구
20180106,5호선,마장,4670.0,4462.0,성동구
20180106,5호선,답십리,12503.0,11572.0,성동구
20180106,5호선,장한평,13981.0,13946.0,동대문구
20180106,5호선,군자(능동),9335.0,12053.0,광진구
20180106,5호선,아차산(어린이대공원후문),13006.0,12154.0,광진구
20180106,5호선,광나루(장신대),10808.0,10083.0,광진구
20180106,6호선,연신내,1.0,0.0,중랑구
20180106,6호선,봉화산(서울의료원),6937.0,6617.0,중랑구
20180106,7호선,먹골,9356.0,8920.0,중랑구
20180106,7호선,중화,9016.0,8433.0,중랑구
20180106,7호선,상봉(시외버스터미널),15124.0,14485.0,중랑구
20180106,7호선,면목,12470.0,11758.0,중랑구
20180106,7호선,사가정,13634.0,13008.0,중랑구
20180106,7호선,용마산,4926.0,4629.0,중랑구
20180106,7호선,중곡,7879.0,7202.0,광진구
20180106,7호선,군자(능동),11976.0,7003.0,광진구
20180106,7호선,어린이대공원(세종대),13634.0,13497.0,광진구
20180106,7호선,건대입구,15885.0,16797.0,광진구
20180106,7호선,뚝섬유원지,6559.0,6316.0,광진구
20180106,우이신설선,신설동,1210.0,1235.0,동대문구
20180107,우이신설선,신설동,941.0,1027.0,동대문구
20180107,7호선,뚝섬유원지,4985.0,4959.0,광진구
20180107,7호선,건대입구,11202.0,11666.0,광진구
20180107,7호선,어린이대공원(세종대),8048.0,7996.0,광진구
20180107,7호선,군자(능동),8901.0,5414.0,광진구
20180107,7호선,중곡,6003.0,5654.0,광진구
20180107,7호선,용마산,3438.0,3521.0,중랑구
20180107,7호선,사가정,9965.0,9603.0,중랑구
20180107,7호선,면목,8919.0,8725.0,중랑구
20180107,7호선,상봉(시외버스터미널),11595.0,10602.0,중랑구
20180107,7호선,중화,6581.0,6148.0,중랑구
20180107,7호선,먹골,6250.0,6170.0,중랑구
20180107,6호선,봉화산(서울의료원),4893.0,4749.0,중랑구
20180107,5호선,광나루(장신대),7874.0,7546.0,광진구
20180107,5호선,아차산(어린이대공원후문),10109.0,9826.0,광진구
20180107,5호선,군자(능동),6665.0,8682.0,광진구
20180107,5호선,장한평,9525.0,9351.0,동대문구
20180107,5호선,답십리,9023.0,8332.0,성동구
20180107,5호선,마장,3346.0,3202.0,성동구
20180107,5호선,왕십리(성동구청),3031.0,3655.0,성동구
20180107,5호선,행당,4527.0,4315.0,성동구
20180107,5호선,신금호,3337.0,3507.0,성동구
20180107,경춘선,신내,430.0,454.0,중랑구
20180107,중앙선,상봉(시외버스터미널),4317.0,4412.0,중랑구
20180107,경원선,청량리(서울시립대입구),14124.0,14327.0,동대문구
20180107,경원선,왕십리(성동구청),11370.0,12793.0,성동구
20180107,경원선,옥수,52.0,18.0,성동구
20180107,3호선,옥수,5514.0,6220.0,성동구
20180107,3호선,금호,5078.0,4844.0,성동구
20180107,3호선,연신내,26906.0,25617.0,중랑구
20180107,2호선,용두(동대문구청),1207.0,1299.0,동대문구
20180107,2호선,신설동,3903.0,3716.0,동대문구
20180107,2호선,신답,678.0,815.0,성동구
20180107,2호선,용답,1685.0,1704.0,성동구
20180107,2호선,강변(동서울터미널),34986.0,36311.0,광진구
20180107,2호선,구의(광진구청),12518.0,12331.0,광진구
20180107,2호선,건대입구,34098.0,35888.0,광진구
20180107,2호선,성수,9123.0,9947.0,성동구
20180107,2호선,뚝섬,7133.0,7346.0,성동구
20180107,2호선,한양대,3137.0,3537.0,성동구
20180107,2호선,왕십리(성동구청),12159.0,10447.0,성동구
20180107,2호선,상왕십리,7396.0,7162.0,성동구
20180107,1호선,청량리(서울시립대입구),19582.0,20060.0,동대문구
20180107,1호선,제기동,13233.0,13730.0,동대문구
20180107,1호선,신설동,9534.0,8871.0,동대문구
20180108,1호선,신설동,17236.0,16933.0,동대문구
20180108,1호선,제기동,22466.0,23258.0,동대문구
20180108,1호선,청량리(서울시립대입구),28196.0,28960.0,동대문구
20180108,2호선,상왕십리,15064.0,14524.0,성동구
